gpu,compute_capability,distribution,kernel,storage,storage_bits,arithmetic,family,lanes,m,n,round,sample,batch_iterations,time_ms,useful_flops,logical_storage_bytes,modeled_load_instructions,result_checksum,max_abs_error,relative_l2_error,useful_gflop_per_s,effective_gb_per_s
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp16_e5m10,16,fp64,scalar_single,1,1,4096,0,0,2056,0.0052678130480102066,8192,16384,8192,1019.6816979555006,0,0,1.5551045424997261,3.1102090849994521
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,4,1,4096,0,0,2103,0.0052705656841602767,8192,16384,8192,1019.6816979555006,0,0,1.5542923645975157,3.1085847291950315
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,8,1,4096,0,0,1978,0.0055029968400575275,8192,16384,8192,1019.5,0.18169795550056733,0.00017819085687708079,1.4886434134158728,2.9772868268317456
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,2,1,4096,0,0,2084,0.0052695892136293727,8192,16384,8192,1019.6816979555006,0,0,1.5545803795886108,3.1091607591772217
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp16_e5m10,16,fp16,vector_packet,2,1,4096,0,0,2056,0.005273074027629214,8192,16384,4096,1019.6875,0.0058020444994326681,5.6900545641507362e-06,1.5535530047703769,3.1071060095407539
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp16_e5m10,16,fp64,scalar_unrolled,8,1,4096,0,0,2039,0.0054563215516723216,8192,16384,8192,1019.6816979555006,0,0,1.5013777913233894,3.0027555826467789
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp16_e5m10,16,fp16,scalar_unrolled,4,1,4096,0,0,2021,0.0053782323868424515,8192,16384,8192,1019.625,0.056697955500567332,5.5603582582926443e-05,1.5231770237450646,3.0463540474901292
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,2,1,4096,0,0,2039,0.0052162042255785137,8192,16384,4096,1019.6875,0.0058020444994326681,5.6900545641507362e-06,1.5704906567555741,3.1409813135111482
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp16_e5m10,16,fp16,vector_packet,8,1,4096,0,0,2039,0.0053710249956476159,8192,16384,1024,1019.5,0.18169795550056733,0.00017819085687708079,1.5252209786099202,3.0504419572198405
NVIDIA H200 NVL,sm_90,uniform_0_1,dot,fp16_e5m10,16,fp16,packed_arithmetic,8,1,4096,0,0,2030,0.0053657221676680841,8192,16384,1024,1020,0.31830204449943267,0.00031215824029953666,1.5267283217461483,3.0534566434922965
