format,family,bits,arithmetic,distribution,kernel,strategy,storage_layout,access_method,packet_values,N,M,input_bytes,lut_bytes,dynamic_shared_bytes,round,order_position,kernel_ms,status
posit14_es1,posit,14,fp64,field_balanced_finite,gemv,full_lut_shared,dense,scalar,1,256,16,7624,131072,133120,0,2,0.0160000008,ok
posit14_es1,posit,14,fp64,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,256,16,7624,131072,2048,1,0,0.00444799988,ok
posit14_es1,posit,14,fp64,field_balanced_finite,gemv,full_lut_shared,dense,scalar,1,256,16,7624,131072,133120,1,1,0.015904,ok
posit14_es1,posit,14,fp64,field_balanced_finite,gemv,direct,dense,scalar,1,256,16,7624,0,2048,1,2,0.00528000016,ok
posit14_es1,posit,14,fp64,paired_log_uniform_finite,dot,direct,dense,scalar,1,65536,1,229384,0,2048,0,0,0.00844800007,ok
posit14_es1,posit,14,fp64,paired_log_uniform_finite,dot,full_lut_global,dense,scalar,1,65536,1,229384,131072,2048,0,1,0.00854399987,ok
posit14_es1,posit,14,fp64,paired_log_uniform_finite,dot,full_lut_shared,dense,scalar,1,65536,1,229384,131072,133120,0,2,0.0439679995,ok
posit14_es1,posit,14,fp64,paired_log_uniform_finite,dot,full_lut_global,dense,scalar,1,65536,1,229384,131072,2048,1,0,0.00863999967,ok
posit14_es1,posit,14,fp64,paired_log_uniform_finite,dot,full_lut_shared,dense,scalar,1,65536,1,229384,131072,133120,1,1,0.044032,ok
posit14_es1,posit,14,fp64,paired_log_uniform_finite,dot,direct,dense,scalar,1,65536,1,229384,0,2048,1,2,0.00812800042,ok
posit14_es1,posit,14,fp64,paired_log_uniform_finite,gemv,direct,dense,scalar,1,256,16,7624,0,2048,0,0,0.00528000016,ok
posit14_es1,posit,14,fp64,paired_log_uniform_finite,gemv,full_lut_global,dense,scalar,1,256,16,7624,131072,2048,0,1,0.0045119999,ok
posit14_es1,posit,14,fp64,paired_log_uniform_finite,gemv,full_lut_shared,dense,scalar,1,256,16,7624,131072,133120,0,2,0.0160319991,ok
posit14_es1,posit,14,fp64,paired_log_uniform_finite,gemv,full_lut_global,dense,scalar,1,256,16,7624,131072,2048,1,0,0.00476799998,ok
posit14_es1,posit,14,fp64,paired_log_uniform_finite,gemv,full_lut_shared,dense,scalar,1,256,16,7624,131072,133120,1,1,0.015904,ok
posit14_es1,posit,14,fp64,paired_log_uniform_finite,gemv,direct,dense,scalar,1,256,16,7624,0,2048,1,2,0.00476799998,ok
posit16_es1,posit,16,fp32,field_balanced_finite,dot,direct,dense,scalar,1,65536,1,262144,0,1024,0,0,0.0103359995,ok
posit16_es1,posit,16,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,65536,1,262144,262144,1024,0,1,0.00751999998,ok
posit16_es1,posit,16,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,65536,1,262144,262144,1024,1,0,0.00793599989,ok
posit16_es1,posit,16,fp32,field_balanced_finite,dot,direct,dense,scalar,1,65536,1,262144,0,1024,1,1,0.00793599989,ok
posit16_es1,posit,16,fp32,field_balanced_finite,gemv,direct,dense,scalar,1,256,16,8704,0,1024,0,0,0.00528000016,ok
posit16_es1,posit,16,fp32,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,256,16,8704,262144,1024,0,1,0.0045119999,ok
posit16_es1,posit,16,fp32,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,256,16,8704,262144,1024,1,0,0.0044160001,ok
posit16_es1,posit,16,fp32,field_balanced_finite,gemv,direct,dense,scalar,1,256,16,8704,0,1024,1,1,0.00473600021,ok
posit16_es1,posit,16,fp32,paired_log_uniform_finite,dot,direct,dense,scalar,1,65536,1,262144,0,1024,0,0,0.00803199969,ok
posit16_es1,posit,16,fp32,paired_log_uniform_finite,dot,full_lut_global,dense,scalar,1,65536,1,262144,262144,1024,0,1,0.00851199962,ok
posit16_es1,posit,16,fp32,paired_log_uniform_finite,dot,full_lut_global,dense,scalar,1,65536,1,262144,262144,1024,1,0,0.00848000031,ok
posit16_es1,posit,16,fp32,paired_log_uniform_finite,dot,direct,dense,scalar,1,65536,1,262144,0,1024,1,1,0.00806399994,ok
posit16_es1,posit,16,fp32,paired_log_uniform_finite,gemv,direct,dense,scalar,1,256,16,8704,0,1024,0,0,0.00502400007,ok
posit16_es1,posit,16,fp32,paired_log_uniform_finite,gemv,full_lut_global,dense,scalar,1,256,16,8704,262144,1024,0,1,0.00476799998,ok
posit16_es1,posit,16,fp32,paired_log_uniform_finite,gemv,full_lut_global,dense,scalar,1,256,16,8704,262144,1024,1,0,0.00448000012,ok
posit16_es1,posit,16,fp32,paired_log_uniform_finite,gemv,direct,dense,scalar,1,256,16,8704,0,1024,1,1,0.00518399989,ok
posit16_es1,posit,16,fp64,field_balanced_finite,dot,direct,dense,scalar,1,65536,1,262144,0,2048,0,0,0.00915199984,ok
posit16_es1,posit,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,65536,1,262144,524288,2048,0,1,0.00803199969,ok
posit16_es1,posit,16,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,65536,1,262144,524288,2048,1,0,0.00751999998,ok
posit16_es1,posit,16,fp64,field_balanced_finite,dot,direct,dense,scalar,1,65536,1,262144,0,2048,1,1,0.00793599989,ok
posit16_es1,posit,16,fp64,field_balanced_finite,gemv,direct,dense,scalar,1,256,16,8704,0,2048,0,0,0.00531199994,ok
posit16_es1,posit,16,fp64,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,256,16,8704,524288,2048,0,1,0.0045119999,ok
posit16_es1,posit,16,fp64,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,256,16,8704,524288,2048,1,0,0.00483200001,ok
posit16_es1,posit,16,fp64,field_balanced_finite,gemv,direct,dense,scalar,1,256,16,8704,0,2048,1,1,0.00470399996,ok
posit16_es1,posit,16,fp64,paired_log_uniform_finite,dot,direct,dense,scalar,1,65536,1,262144,0,2048,0,0,0.00828799978,ok
posit16_es1,posit,16,fp64,paired_log_uniform_finite,dot,full_lut_global,dense,scalar,1,65536,1,262144,524288,2048,0,1,0.00838399958,ok
posit16_es1,posit,16,fp64,paired_log_uniform_finite,dot,full_lut_global,dense,scalar,1,65536,1,262144,524288,2048,1,0,0.00905600004,ok
posit16_es1,posit,16,fp64,paired_log_uniform_finite,dot,direct,dense,scalar,1,65536,1,262144,0,2048,1,1,0.00790399965,ok
posit16_es1,posit,16,fp64,paired_log_uniform_finite,gemv,direct,dense,scalar,1,256,16,8704,0,2048,0,0,0.00508800009,ok
posit16_es1,posit,16,fp64,paired_log_uniform_finite,gemv,full_lut_global,dense,scalar,1,256,16,8704,524288,2048,0,1,0.00467200018,ok
posit16_es1,posit,16,fp64,paired_log_uniform_finite,gemv,full_lut_global,dense,scalar,1,256,16,8704,524288,2048,1,0,0.00470399996,ok
posit16_es1,posit,16,fp64,paired_log_uniform_finite,gemv,direct,dense,scalar,1,256,16,8704,0,2048,1,1,0.00528000016,ok
posit32_es2,posit,32,fp32,field_balanced_finite,dot,direct,dense,scalar,1,65536,1,524288,0,1024,0,0,0.0121280001,ok
posit32_es2,posit,32,fp32,field_balanced_finite,dot,direct,dense,scalar,1,65536,1,524288,0,1024,1,0,0.00828799978,ok
posit32_es2,posit,32,fp32,field_balanced_finite,gemv,direct,dense,scalar,1,256,16,17408,0,1024,0,0,0.00531199994,ok
posit32_es2,posit,32,fp32,field_balanced_finite,gemv,direct,dense,scalar,1,256,16,17408,0,1024,1,0,0.00460800016,ok
