format,family,bits,arithmetic,distribution,kernel,strategy,storage_layout,access_method,packet_values,N,M,input_bytes,lut_bytes,dynamic_shared_bytes,round,order_position,kernel_ms,status
posit14_es1,posit,14,fp32,field_balanced_finite,dot,direct,dense,scalar,1,65536,1,229384,0,1024,0,0,0.0103679998,ok
posit14_es1,posit,14,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,65536,1,229384,65536,1024,0,1,0.00771200005,ok
posit14_es1,posit,14,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,65536,1,229384,65536,66560,0,2,0.0314880013,ok
posit14_es1,posit,14,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,65536,1,229384,65536,1024,1,0,0.00723200012,ok
posit14_es1,posit,14,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,65536,1,229384,65536,66560,1,1,0.0314240009,ok
posit14_es1,posit,14,fp32,field_balanced_finite,dot,direct,dense,scalar,1,65536,1,229384,0,1024,1,2,0.00815999974,ok
posit14_es1,posit,14,fp32,field_balanced_finite,gemv,direct,dense,scalar,1,256,16,7624,0,1024,0,0,0.00531199994,ok
posit14_es1,posit,14,fp32,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,256,16,7624,65536,1024,0,1,0.00492799981,ok
posit14_es1,posit,14,fp32,field_balanced_finite,gemv,full_lut_shared,dense,scalar,1,256,16,7624,65536,66560,0,2,0.0158079993,ok
posit14_es1,posit,14,fp32,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,256,16,7624,65536,1024,1,0,0.0045119999,ok
posit14_es1,posit,14,fp32,field_balanced_finite,gemv,full_lut_shared,dense,scalar,1,256,16,7624,65536,66560,1,1,0.0157440007,ok
posit14_es1,posit,14,fp32,field_balanced_finite,gemv,direct,dense,scalar,1,256,16,7624,0,1024,1,2,0.00499199983,ok
posit14_es1,posit,14,fp32,paired_log_uniform_finite,dot,direct,dense,scalar,1,65536,1,229384,0,1024,0,0,0.00809600018,ok
posit14_es1,posit,14,fp32,paired_log_uniform_finite,dot,full_lut_global,dense,scalar,1,65536,1,229384,65536,1024,0,1,0.00876799971,ok
posit14_es1,posit,14,fp32,paired_log_uniform_finite,dot,full_lut_shared,dense,scalar,1,65536,1,229384,65536,66560,0,2,0.0306560006,ok
posit14_es1,posit,14,fp32,paired_log_uniform_finite,dot,full_lut_global,dense,scalar,1,65536,1,229384,65536,1024,1,0,0.00921600033,ok
posit14_es1,posit,14,fp32,paired_log_uniform_finite,dot,full_lut_shared,dense,scalar,1,65536,1,229384,65536,66560,1,1,0.0309759993,ok
posit14_es1,posit,14,fp32,paired_log_uniform_finite,dot,direct,dense,scalar,1,65536,1,229384,0,1024,1,2,0.00777600007,ok
posit14_es1,posit,14,fp32,paired_log_uniform_finite,gemv,direct,dense,scalar,1,256,16,7624,0,1024,0,0,0.00505599985,ok
posit14_es1,posit,14,fp32,paired_log_uniform_finite,gemv,full_lut_global,dense,scalar,1,256,16,7624,65536,1024,0,1,0.00473600021,ok
posit14_es1,posit,14,fp32,paired_log_uniform_finite,gemv,full_lut_shared,dense,scalar,1,256,16,7624,65536,66560,0,2,0.0163519997,ok
posit14_es1,posit,14,fp32,paired_log_uniform_finite,gemv,full_lut_global,dense,scalar,1,256,16,7624,65536,1024,1,0,0.00483200001,ok
posit14_es1,posit,14,fp32,paired_log_uniform_finite,gemv,full_lut_shared,dense,scalar,1,256,16,7624,65536,66560,1,1,0.0156479999,ok
posit14_es1,posit,14,fp32,paired_log_uniform_finite,gemv,direct,dense,scalar,1,256,16,7624,0,1024,1,2,0.00502400007,ok
posit14_es1,posit,14,fp64,field_balanced_finite,dot,direct,dense,scalar,1,65536,1,229384,0,2048,0,0,0.00832000002,ok
posit14_es1,posit,14,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,65536,1,229384,131072,2048,0,1,0.00803199969,ok
posit14_es1,posit,14,fp64,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,65536,1,229384,131072,133120,0,2,0.0439999998,ok
posit14_es1,posit,14,fp64,field_balanced_finite,dot,full_lut_global,dense,scalar,1,65536,1,229384,131072,2048,1,0,0.00758400001,ok
posit14_es1,posit,14,fp64,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,65536,1,229384,131072,133120,1,1,0.0435840003,ok
posit14_es1,posit,14,fp64,field_balanced_finite,dot,direct,dense,scalar,1,65536,1,229384,0,2048,1,2,0.00793599989,ok
posit14_es1,posit,14,fp64,field_balanced_finite,gemv,direct,dense,scalar,1,256,16,7624,0,2048,0,0,0.00518399989,ok
posit14_es1,posit,14,fp64,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,256,16,7624,131072,2048,0,1,0.00454400014,ok
posit14_es1,posit,14,fp64,field_balanced_finite,gemv,full_lut_shared,dense,scalar,1,256,16,7624,131072,133120,0,2,0.0160000008,ok
posit14_es1,posit,14,fp64,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,256,16,7624,131072,2048,1,0,0.00444799988,ok
posit14_es1,posit,14,fp64,field_balanced_finite,gemv,full_lut_shared,dense,scalar,1,256,16,7624,131072,133120,1,1,0.015904,ok
posit14_es1,posit,14,fp64,field_balanced_finite,gemv,direct,dense,scalar,1,256,16,7624,0,2048,1,2,0.00528000016,ok
posit14_es1,posit,14,fp64,paired_log_uniform_finite,dot,direct,dense,scalar,1,65536,1,229384,0,2048,0,0,0.00844800007,ok
posit14_es1,posit,14,fp64,paired_log_uniform_finite,dot,full_lut_global,dense,scalar,1,65536,1,229384,131072,2048,0,1,0.00854399987,ok
posit14_es1,posit,14,fp64,paired_log_uniform_finite,dot,full_lut_shared,dense,scalar,1,65536,1,229384,131072,133120,0,2,0.0439679995,ok
posit14_es1,posit,14,fp64,paired_log_uniform_finite,dot,full_lut_global,dense,scalar,1,65536,1,229384,131072,2048,1,0,0.00863999967,ok
posit14_es1,posit,14,fp64,paired_log_uniform_finite,dot,full_lut_shared,dense,scalar,1,65536,1,229384,131072,133120,1,1,0.044032,ok
posit14_es1,posit,14,fp64,paired_log_uniform_finite,dot,direct,dense,scalar,1,65536,1,229384,0,2048,1,2,0.00812800042,ok
posit14_es1,posit,14,fp64,paired_log_uniform_finite,gemv,direct,dense,scalar,1,256,16,7624,0,2048,0,0,0.00528000016,ok
posit14_es1,posit,14,fp64,paired_log_uniform_finite,gemv,full_lut_global,dense,scalar,1,256,16,7624,131072,2048,0,1,0.0045119999,ok
posit14_es1,posit,14,fp64,paired_log_uniform_finite,gemv,full_lut_shared,dense,scalar,1,256,16,7624,131072,133120,0,2,0.0160319991,ok
posit14_es1,posit,14,fp64,paired_log_uniform_finite,gemv,full_lut_global,dense,scalar,1,256,16,7624,131072,2048,1,0,0.00476799998,ok
posit14_es1,posit,14,fp64,paired_log_uniform_finite,gemv,full_lut_shared,dense,scalar,1,256,16,7624,131072,133120,1,1,0.015904,ok
posit14_es1,posit,14,fp64,paired_log_uniform_finite,gemv,direct,dense,scalar,1,256,16,7624,0,2048,1,2,0.00476799998,ok
