format,family,bits,arithmetic,distribution,kernel,strategy,storage_layout,access_method,packet_values,N,M,input_bytes,lut_bytes,dynamic_shared_bytes,round,order_position,kernel_ms,status
posit8_es0,posit,8,fp32,field_balanced_finite,dot,direct,dense,scalar,1,65536,1,131072,0,1024,0,0,0.0107519999,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,65536,1,131072,1024,1024,0,1,0.00742400018,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,65536,1,131072,1024,2048,0,2,0.00764800003,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_global,dense,scalar,1,65536,1,131072,1024,1024,1,0,0.00793599989,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,full_lut_shared,dense,scalar,1,65536,1,131072,1024,2048,1,1,0.00767999981,ok
posit8_es0,posit,8,fp32,field_balanced_finite,dot,direct,dense,scalar,1,65536,1,131072,0,1024,1,2,0.00815999974,ok
posit8_es0,posit,8,fp32,field_balanced_finite,gemv,direct,dense,scalar,1,256,16,4352,0,1024,0,0,0.00508800009,ok
posit8_es0,posit,8,fp32,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,256,16,4352,1024,1024,0,1,0.00486399978,ok
posit8_es0,posit,8,fp32,field_balanced_finite,gemv,full_lut_shared,dense,scalar,1,256,16,4352,1024,2048,0,2,0.00460800016,ok
posit8_es0,posit,8,fp32,field_balanced_finite,gemv,full_lut_global,dense,scalar,1,256,16,4352,1024,1024,1,0,0.00454400014,ok
posit8_es0,posit,8,fp32,field_balanced_finite,gemv,full_lut_shared,dense,scalar,1,256,16,4352,1024,2048,1,1,0.00463999994,ok
posit8_es0,posit,8,fp32,field_balanced_finite,gemv,direct,dense,scalar,1,256,16,4352,0,1024,1,2,0.00473600021,ok
posit8_es0,posit,8,fp32,paired_log_uniform_finite,dot,direct,dense,scalar,1,65536,1,131072,0,1024,0,0,0.00838399958,ok
posit8_es0,posit,8,fp32,paired_log_uniform_finite,dot,full_lut_global,dense,scalar,1,65536,1,131072,1024,1024,0,1,0.0071680001,ok
posit8_es0,posit,8,fp32,paired_log_uniform_finite,dot,full_lut_shared,dense,scalar,1,65536,1,131072,1024,2048,0,2,0.00710400008,ok
