mode,stage,N,B,scale_type,path,variant_id,payload_type,arithmetic,grid,threads,round,order,time_ms,result,valid,job_id,node,seed_set_id,source_commit,binary_sha,sass_sha,audit_sha
smoke,initial,16384,16,fp64,deferred,deferred_b16_s64,fp32,fp64,512,256,0,11,0.00758400001,15.119417042476014,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,32,fp32,per_element,per_element_b32_s32,fp32,fp64,512,256,0,12,0.00742400018,15.119420436395773,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,32,fp64,per_element,per_element_b32_s64,fp32,fp64,512,256,0,13,0.00745599996,15.119420436395773,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,32,fp64,deferred,deferred_b32_s64,fp32,fp64,512,256,0,14,0.00723200012,15.119420436395783,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,16,fp32,deferred,deferred_b16_s32,fp32,fp64,512,256,1,0,0.00780799985,15.119417042476014,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,128,fp32,per_element,per_element_b128_s32,fp32,fp64,512,256,1,1,0.00742400018,15.119420541208353,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,16,fp32,per_element,per_element_b16_s32,fp32,fp64,512,256,1,2,0.00790399965,15.119417042476012,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,0,none,baseline,fp32_to_fp64,fp32,fp64,512,256,1,3,0.00745599996,15.119419376300868,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,16,fp64,per_element,per_element_b16_s64,fp32,fp64,512,256,1,4,0.00742400018,15.119417042476012,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,128,fp64,per_element,per_element_b128_s64,fp32,fp64,512,256,1,5,0.00745599996,15.119420541208353,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,32,fp64,per_element,per_element_b32_s64,fp32,fp64,512,256,1,6,0.00975999981,15.119420436395773,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,32,fp64,deferred,deferred_b32_s64,fp32,fp64,512,256,1,7,0.00767999981,15.119420436395783,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,128,fp64,deferred,deferred_b128_s64,fp32,fp64,512,256,1,8,0.00841599982,15.119420541208346,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,128,fp32,deferred,deferred_b128_s32,fp32,fp64,512,256,1,9,0.00848000031,15.119420541208346,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,0,none,baseline,raw_fp64,fp64,fp64,512,256,1,10,0.00742400018,15.119419376300868,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,0,none,baseline,raw_fp32,fp32,fp32,512,256,1,11,0.00732799992,15.11942195892334,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,32,fp32,per_element,per_element_b32_s32,fp32,fp64,512,256,1,12,0.00755200023,15.119420436395773,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,16,fp64,deferred,deferred_b16_s64,fp32,fp64,512,256,1,13,0.00739199994,15.119417042476014,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,32,fp32,deferred,deferred_b32_s32,fp32,fp64,512,256,1,14,0.00736000016,15.119420436395783,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,32,fp32,per_element,per_element_b32_s32,fp32,fp64,512,256,2,0,0.00774399983,15.119420436395773,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,32,fp64,deferred,deferred_b32_s64,fp32,fp64,512,256,2,1,0.00745599996,15.119420436395783,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,32,fp64,per_element,per_element_b32_s64,fp32,fp64,512,256,2,2,0.00704000005,15.119420436395773,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,128,fp64,per_element,per_element_b128_s64,fp32,fp64,512,256,2,3,0.00742400018,15.119420541208353,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,128,fp32,deferred,deferred_b128_s32,fp32,fp64,512,256,2,4,0.00784000009,15.119420541208346,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,0,none,baseline,fp32_to_fp64,fp32,fp64,512,256,2,5,0.00780799985,15.119419376300868,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,32,fp32,deferred,deferred_b32_s32,fp32,fp64,512,256,2,6,0.00732799992,15.119420436395783,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,16,fp64,per_element,per_element_b16_s64,fp32,fp64,512,256,2,7,0.0072639999,15.119417042476012,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,16,fp32,per_element,per_element_b16_s32,fp32,fp64,512,256,2,8,0.00751999998,15.119417042476012,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,128,fp32,per_element,per_element_b128_s32,fp32,fp64,512,256,2,9,0.00751999998,15.119420541208353,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
smoke,initial,16384,0,none,baseline,raw_fp64,fp64,fp64,512,256,2,10,0.00710400008,15.119419376300868,1,460442,gpu-nvidia-h200-3.int.coma-cluster.de,block-scale-v1,316aa6b4e92074ef1bca9660e3ba06fa46b99112,6cdec08224e860fa8ba26523eba6f34d45f3a1eba9b5e6f448677ec2b9c3fc79,2127db92b13fe61e799dffdb8388c4aaa626b3a0fb4b624ea5d47038a6e1dc91,af181c9ec0eaefeaf3d4a52470e912119d604e7248dc654b07b404de31bcc337
