mode,stage,N,B,scale_type,path,reconstruction,subtotal_mode,dot_accumulation,variant_id,payload_type,grid,threads,round,order,time_ms,result,valid,job_id,node,experiment_id,dataset_id,seed_set_id,source_commit,binary_sha,sass_sha,audit_sha
smoke,initial,1048576,128,fp64,per_element,fp64,none,fp64,reconstruct64_b128_s64,fp32,512,256,0,5,0.0107519999,-116.58653876537797,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,128,fp32,deferred_local,fp64,thread_local_4,fp64,deferred_local_b128_s32,fp32,512,256,0,6,0.00960000046,-116.5865387653779,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,32,fp32,per_element,fp32,none,fp64,reconstruct32_b32_s32,fp32,512,256,0,7,0.0107199997,-116.58652764111817,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,128,fp64,deferred_local,fp64,thread_local_4,fp64,deferred_local_b128_s64,fp32,512,256,0,8,0.00960000046,-116.5865387653779,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,32,fp32,per_element,fp64,none,fp64,reconstruct64_b32_s32,fp32,512,256,0,9,0.00956800021,-116.58651809556569,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,0,none,baseline,native_fp32,none,fp32,raw_fp32,fp32,512,256,0,10,0.00966400001,-116.58647918701172,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,16,fp64,per_element,fp64,none,fp64,reconstruct64_b16_s64,fp32,512,256,0,11,0.00953599997,-116.58653674361703,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,0,none,baseline,native_fp64,none,fp64,raw_fp64,fp64,512,256,0,12,0.0127360001,-116.58652247266033,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,128,fp32,per_element,fp64,none,fp64,reconstruct64_b128_s32,fp32,512,256,0,13,0.0127360001,-116.58653876537797,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,16,fp64,per_element,fp64,none,fp64,reconstruct64_b16_s64,fp32,512,256,1,0,0.011136,-116.58653674361703,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,0,none,baseline,native_fp64,none,fp64,raw_fp64,fp64,512,256,1,1,0.00963199977,-116.58652247266033,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,16,fp32,per_element,fp32,none,fp64,reconstruct32_b16_s32,fp32,512,256,1,2,0.0112960003,-116.58653954362772,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,128,fp32,per_element,fp64,none,fp64,reconstruct64_b128_s32,fp32,512,256,1,3,0.0110400002,-116.58653876537797,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,128,fp64,deferred_local,fp64,thread_local_4,fp64,deferred_local_b128_s64,fp32,512,256,1,4,0.01088,-116.5865387653779,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,0,none,baseline,native_fp32,none,fp32,raw_fp32,fp32,512,256,1,5,0.0120320003,-116.58647918701172,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,32,fp32,per_element,fp64,none,fp64,reconstruct64_b32_s32,fp32,512,256,1,6,0.0125120003,-116.58651809556569,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,16,fp32,per_element,fp64,none,fp64,reconstruct64_b16_s32,fp32,512,256,1,7,0.011136,-116.58653674361703,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,32,fp64,per_element,fp64,none,fp64,reconstruct64_b32_s64,fp32,512,256,1,8,0.0126719996,-116.58651809556569,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,128,fp32,deferred_local,fp64,thread_local_4,fp64,deferred_local_b128_s32,fp32,512,256,1,9,0.0101760002,-116.5865387653779,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,128,fp64,per_element,fp64,none,fp64,reconstruct64_b128_s64,fp32,512,256,1,10,0.0102399997,-116.58653876537797,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,0,none,baseline,widen_fp32,none,fp64,fp32_to_fp64,fp32,512,256,1,11,0.01088,-116.58652247266033,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,32,fp32,per_element,fp32,none,fp64,reconstruct32_b32_s32,fp32,512,256,1,12,0.0108479997,-116.58652764111817,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,128,fp32,per_element,fp32,none,fp64,reconstruct32_b128_s32,fp32,512,256,1,13,0.00963199977,-116.58653848530811,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,0,none,baseline,native_fp64,none,fp64,raw_fp64,fp64,512,256,2,0,0.0115200002,-116.58652247266033,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,16,fp32,per_element,fp64,none,fp64,reconstruct64_b16_s32,fp32,512,256,2,1,0.0132799996,-116.58653674361703,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,128,fp32,deferred_local,fp64,thread_local_4,fp64,deferred_local_b128_s32,fp32,512,256,2,2,0.0121280001,-116.5865387653779,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,128,fp32,per_element,fp32,none,fp64,reconstruct32_b128_s32,fp32,512,256,2,3,0.0105600003,-116.58653848530811,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,16,fp32,per_element,fp32,none,fp64,reconstruct32_b16_s32,fp32,512,256,2,4,0.00921600033,-116.58653954362772,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,128,fp64,per_element,fp64,none,fp64,reconstruct64_b128_s64,fp32,512,256,2,5,0.0112960003,-116.58653876537797,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,32,fp64,per_element,fp64,none,fp64,reconstruct64_b32_s64,fp32,512,256,2,6,0.0121280001,-116.58651809556569,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,16,fp64,per_element,fp64,none,fp64,reconstruct64_b16_s64,fp32,512,256,2,7,0.0115200002,-116.58653674361703,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,128,fp32,per_element,fp64,none,fp64,reconstruct64_b128_s32,fp32,512,256,2,8,0.00950399972,-116.58653876537797,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,0,none,baseline,native_fp32,none,fp32,raw_fp32,fp32,512,256,2,9,0.0112640001,-116.58647918701172,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,32,fp32,per_element,fp64,none,fp64,reconstruct64_b32_s32,fp32,512,256,2,10,0.0118399998,-116.58651809556569,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,32,fp32,per_element,fp32,none,fp64,reconstruct32_b32_s32,fp32,512,256,2,11,0.0106880004,-116.58652764111817,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,128,fp64,deferred_local,fp64,thread_local_4,fp64,deferred_local_b128_s64,fp32,512,256,2,12,0.00979200006,-116.5865387653779,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
smoke,initial,1048576,0,none,baseline,widen_fp32,none,fp64,fp32_to_fp64,fp32,512,256,2,13,0.0107840002,-116.58652247266033,1,460483,gpu-nvidia-h200-3.int.coma-cluster.de,034_block_scale_reconstruction,block-scale-v1,block-scale-v1,2c15934e478e315cb6d22236ee2aab21cefef5da,ae9e60226560cdf4e1b6d56d66cbc165d2b21579b1f669f3b57bbf296626c9fb,e01239c142bf3e5b59cb2b529e46ac2b5e57ad31de6b20a660908da8e0e51d32,0a6d508208722d651b1e12cb42ce9534ff3d1011c24e47ce29f37314a9c84dc8
