kernel,distribution,format,storage_bits,n,m,comparison,metric,quantile,value,finite_value_count
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,normalized_absolute_error,0.0500000000000000000007,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,normalized_absolute_error,0.100000000000000000001,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,normalized_absolute_error,0.25,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,normalized_absolute_error,0.5,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,normalized_absolute_error,0.75,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,normalized_absolute_error,0.899999999999999999978,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,normalized_absolute_error,0.949999999999999999989,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,normalized_absolute_error,0.975000000000000000022,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,normalized_absolute_error,0.990000000000000000009,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,normalized_absolute_error,0.995000000000000000004,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,normalized_absolute_error,0.998999999999999999979,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,normalized_absolute_error,1,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,relative_absolute_error,0,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,relative_absolute_error,0.000999999999999999999958,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,relative_absolute_error,0.0049999999999999999999,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,relative_absolute_error,0.0099999999999999999998,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,relative_absolute_error,0.0250000000000000000003,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,relative_absolute_error,0.0500000000000000000007,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,relative_absolute_error,0.100000000000000000001,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,relative_absolute_error,0.25,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,relative_absolute_error,0.5,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,relative_absolute_error,0.75,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,relative_absolute_error,0.899999999999999999978,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,relative_absolute_error,0.949999999999999999989,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,relative_absolute_error,0.975000000000000000022,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,relative_absolute_error,0.990000000000000000009,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,relative_absolute_error,0.995000000000000000004,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,relative_absolute_error,0.998999999999999999979,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,relative_absolute_error,1,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,condition_number,0,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,condition_number,0.000999999999999999999958,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,condition_number,0.0049999999999999999999,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,condition_number,0.0099999999999999999998,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,condition_number,0.0250000000000000000003,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,condition_number,0.0500000000000000000007,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,condition_number,0.100000000000000000001,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,condition_number,0.25,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,condition_number,0.5,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,condition_number,0.75,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,condition_number,0.899999999999999999978,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,condition_number,0.949999999999999999989,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,condition_number,0.975000000000000000022,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,condition_number,0.990000000000000000009,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,condition_number,0.995000000000000000004,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,condition_number,0.998999999999999999979,nan,0
dot,normal_0_1,e2m5,8,4194304,1,kernel_x4,condition_number,1,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,signed_error,0,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,signed_error,0.000999999999999999999958,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,signed_error,0.0049999999999999999999,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,signed_error,0.0099999999999999999998,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,signed_error,0.0250000000000000000003,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,signed_error,0.0500000000000000000007,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,signed_error,0.100000000000000000001,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,signed_error,0.25,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,signed_error,0.5,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,signed_error,0.75,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,signed_error,0.899999999999999999978,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,signed_error,0.949999999999999999989,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,signed_error,0.975000000000000000022,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,signed_error,0.990000000000000000009,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,signed_error,0.995000000000000000004,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,signed_error,0.998999999999999999979,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,signed_error,1,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,absolute_error,0,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,absolute_error,0.000999999999999999999958,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,absolute_error,0.0049999999999999999999,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,absolute_error,0.0099999999999999999998,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,absolute_error,0.0250000000000000000003,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,absolute_error,0.0500000000000000000007,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,absolute_error,0.100000000000000000001,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,absolute_error,0.25,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,absolute_error,0.5,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,absolute_error,0.75,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,absolute_error,0.899999999999999999978,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,absolute_error,0.949999999999999999989,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,absolute_error,0.975000000000000000022,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,absolute_error,0.990000000000000000009,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,absolute_error,0.995000000000000000004,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,absolute_error,0.998999999999999999979,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,absolute_error,1,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,normalized_absolute_error,0,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,normalized_absolute_error,0.000999999999999999999958,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,normalized_absolute_error,0.0049999999999999999999,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,normalized_absolute_error,0.0099999999999999999998,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,normalized_absolute_error,0.0250000000000000000003,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,normalized_absolute_error,0.0500000000000000000007,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,normalized_absolute_error,0.100000000000000000001,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,normalized_absolute_error,0.25,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,normalized_absolute_error,0.5,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,normalized_absolute_error,0.75,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,normalized_absolute_error,0.899999999999999999978,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,normalized_absolute_error,0.949999999999999999989,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,normalized_absolute_error,0.975000000000000000022,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,normalized_absolute_error,0.990000000000000000009,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,normalized_absolute_error,0.995000000000000000004,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,normalized_absolute_error,0.998999999999999999979,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,normalized_absolute_error,1,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,relative_absolute_error,0,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,relative_absolute_error,0.000999999999999999999958,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,relative_absolute_error,0.0049999999999999999999,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,relative_absolute_error,0.0099999999999999999998,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,relative_absolute_error,0.0250000000000000000003,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,relative_absolute_error,0.0500000000000000000007,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,relative_absolute_error,0.100000000000000000001,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,relative_absolute_error,0.25,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,relative_absolute_error,0.5,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,relative_absolute_error,0.75,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,relative_absolute_error,0.899999999999999999978,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,relative_absolute_error,0.949999999999999999989,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,relative_absolute_error,0.975000000000000000022,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,relative_absolute_error,0.990000000000000000009,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,relative_absolute_error,0.995000000000000000004,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,relative_absolute_error,0.998999999999999999979,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,relative_absolute_error,1,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,condition_number,0,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,condition_number,0.000999999999999999999958,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,condition_number,0.0049999999999999999999,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,condition_number,0.0099999999999999999998,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,condition_number,0.0250000000000000000003,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,condition_number,0.0500000000000000000007,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,condition_number,0.100000000000000000001,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,condition_number,0.25,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,condition_number,0.5,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,condition_number,0.75,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,condition_number,0.899999999999999999978,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,condition_number,0.949999999999999999989,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,condition_number,0.975000000000000000022,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,condition_number,0.990000000000000000009,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,condition_number,0.995000000000000000004,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,condition_number,0.998999999999999999979,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x1,condition_number,1,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,signed_error,0,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,signed_error,0.000999999999999999999958,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,signed_error,0.0049999999999999999999,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,signed_error,0.0099999999999999999998,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,signed_error,0.0250000000000000000003,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,signed_error,0.0500000000000000000007,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,signed_error,0.100000000000000000001,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,signed_error,0.25,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,signed_error,0.5,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,signed_error,0.75,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,signed_error,0.899999999999999999978,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,signed_error,0.949999999999999999989,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,signed_error,0.975000000000000000022,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,signed_error,0.990000000000000000009,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,signed_error,0.995000000000000000004,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,signed_error,0.998999999999999999979,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,signed_error,1,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,absolute_error,0,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,absolute_error,0.000999999999999999999958,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,absolute_error,0.0049999999999999999999,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,absolute_error,0.0099999999999999999998,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,absolute_error,0.0250000000000000000003,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,absolute_error,0.0500000000000000000007,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,absolute_error,0.100000000000000000001,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,absolute_error,0.25,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,absolute_error,0.5,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,absolute_error,0.75,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,absolute_error,0.899999999999999999978,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,absolute_error,0.949999999999999999989,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,absolute_error,0.975000000000000000022,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,absolute_error,0.990000000000000000009,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,absolute_error,0.995000000000000000004,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,absolute_error,0.998999999999999999979,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,absolute_error,1,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,normalized_absolute_error,0,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,normalized_absolute_error,0.000999999999999999999958,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,normalized_absolute_error,0.0049999999999999999999,nan,0
dot,normal_0_1,e2m5,8,4194304,1,total_x2,normalized_absolute_error,0.0099999999999999999998,nan,0
